Job Title;Employment Type;Experience Level;Expertise Level;Company Location;Salary in USD;Employee Residence;Company Size;Year
ML Engineer;Full-Time;Senior;Expert;United States;152000;United States;Medium;2023
Data Scientist;Full-Time;Senior;Expert;United States;233200;United States;Medium;2023
NLP Engineer;Full-Time;Senior;Expert;United States;210000;United States;Medium;2023
NLP Engineer;Full-Time;Senior;Expert;United States;160000;United States;Medium;2023
Data Analyst;Full-Time;Senior;Expert;United States;206000;United States;Medium;2023
Data Engineer;Full-Time;Senior;Expert;United Kingdom;146100;United Kingdom;Medium;2023
Data Engineer;Full-Time;Senior;Expert;United Kingdom;112400;United Kingdom;Medium;2023
Data Specialist;Full-Time;Mid;Intermediate;United States;110000;United States;Medium;2023
Data Specialist;Full-Time;Mid;Intermediate;United States;70000;United States;Medium;2023
Data Scientist;Full-Time;Senior;Expert;United States;150120;United States;Medium;2023
Data Scientist;Full-Time;Senior;Expert;United States;120096;United States;Medium;2023
Machine Learning Engineer;Full-Time;Senior;Expert;United States;253000;United States;Medium;2023
Machine Learning Engineer;Full-Time;Senior;Expert;United States;168000;United States;Medium;2023
Analytics Engineer;Full-Time;Senior;Expert;United States;178600;United States;Medium;2023
Analytics Engineer;Full-Time;Senior;Expert;United States;142880;United States;Medium;2023
Data Science Manager;Full-Time;Senior;Expert;United States;255000;United States;Medium;2023
Data Science Manager;Full-Time;Senior;Expert;United States;169000;United States;Medium;2023
Data Scientist;Full-Time;Mid;Intermediate;United States;155000;United States;Medium;2023
Data Scientist;Full-Time;Mid;Intermediate;United States;100000;United States;Medium;2023
Data Engineer;Full-Time;Mid;Intermediate;United States;151410;United States;Medium;2023
Data Engineer;Full-Time;Mid;Intermediate;United States;144200;United States;Medium;2023
Data Scientist;Full-Time;Entry;Junior;United States;151410;United States;Medium;2023
Data Scientist;Full-Time;Entry;Junior;United States;115360;United States;Medium;2023
Analytics Engineer;Full-Time;Mid;Intermediate;United States;193170;United States;Medium;2023
Analytics Engineer;Full-Time;Mid;Intermediate;United States;116480;United States;Medium;2023
Director of Data Science;Full-Time;Executive;Director;United Kingdom;246080;United Kingdom;Medium;2023
Director of Data Science;Full-Time;Executive;Director;United Kingdom;203016;United Kingdom;Medium;2023
Head of Data;Full-Time;Executive;Director;United Kingdom;135344;United Kingdom;Medium;2023
Head of Data;Full-Time;Executive;Director;United Kingdom;110736;United Kingdom;Medium;2023
Head of Data;Full-Time;Executive;Director;United States;329500;United States;Medium;2023
Head of Data;Full-Time;Executive;Director;United States;269600;United States;Medium;2023
Data Architect;Full-Time;Senior;Expert;United States;250500;United States;Medium;2023
Data Architect;Full-Time;Senior;Expert;United States;159500;United States;Medium;2023
Data Analyst;Full-Time;Entry;Junior;United States;115000;United States;Medium;2023
Data Analyst;Full-Time;Entry;Junior;United States;94035;United States;Medium;2023
Data Analyst;Full-Time;Entry;Junior;United States;57920;United States;Medium;2023
Data Analyst;Full-Time;Senior;Expert;United States;113600;United States;Medium;2023
Data Analyst;Full-Time;Senior;Expert;United States;60000;United States;Medium;2023
Data Scientist;Full-Time;Senior;Expert;United States;256000;United States;Medium;2023
Data Analyst;Full-Time;Senior;Expert;United States;116000;United States;Medium;2023
Computer Vision Engineer;Full-Time;Senior;Expert;United Kingdom;245000;United Kingdom;Medium;2023
Computer Vision Engineer;Full-Time;Senior;Expert;United Kingdom;210000;United Kingdom;Medium;2023
Machine Learning Engineer;Full-Time;Senior;Expert;United States;283200;United States;Medium;2023
Machine Learning Engineer;Full-Time;Senior;Expert;United States;188800;United States;Medium;2023
Business Data Analyst;Freelance;Mid;Intermediate;Ghana;36000;Ghana;Small;2023
NLP Engineer;Full-Time;Mid;Intermediate;India;32834;India;Medium;2023
Research Scientist;Full-Time;Senior;Expert;United States;205640;United States;Medium;2023
Research Scientist;Full-Time;Senior;Expert;United States;142600;United States;Medium;2023
Data Engineer;Full-Time;Senior;Expert;United States;193200;United States;Medium;2023
Data Engineer;Full-Time;Senior;Expert;United States;156400;United States;Medium;2023
Machine Learning Engineer;Full-Time;Senior;Expert;United States;196000;United States;Medium;2023
Machine Learning Engineer;Full-Time;Senior;Expert;United States;121000;United States;Medium;2023
Data Engineer;Full-Time;Senior;Expert;Argentina;72000;Argentina;Medium;2023
Data Engineer;Full-Time;Senior;Expert;Argentina;48000;Argentina;Medium;2023
Data Engineer;Full-Time;Senior;Expert;United States;132300;United States;Medium;2023
Data Scientist;Full-Time;Senior;Expert;Canada;197000;Canada;Medium;2023
Data Science Manager;Full-Time;Senior;Expert;United States;328000;United States;Medium;2023
Data Science Manager;Full-Time;Senior;Expert;United States;211000;United States;Medium;2023
Data Scientist;Full-Time;Senior;Expert;United States;237000;United States;Medium;2023
Data Scientist;Full-Time;Senior;Expert;United States;201450;United States;Medium;2023
ML Engineer;Full-Time;Senior;Expert;United States;229000;United States;Medium;2023
ML Engineer;Full-Time;Senior;Expert;United States;206000;United States;Medium;2023
Data Scientist;Full-Time;Senior;Expert;United States;231000;United States;Medium;2023
ML Engineer;Full-Time;Senior;Expert;United States;183750;United States;Medium;2023
ML Engineer;Full-Time;Senior;Expert;United States;165400;United States;Medium;2023
Data Engineer;Full-Time;Mid;Intermediate;United States;175000;United States;Medium;2023
Data Engineer;Full-Time;Mid;Intermediate;United States;125000;United States;Medium;2023
Analytics Engineer;Full-Time;Senior;Expert;United Kingdom;152900;United Kingdom;Medium;2023
Analytics Engineer;Full-Time;Senior;Expert;United Kingdom;117700;United Kingdom;Medium;2023
Data Scientist;Full-Time;Senior;Expert;United States;285800;United States;Medium;2023
Data Scientist;Full-Time;Senior;Expert;United States;154600;United States;Medium;2023
Data Operations Engineer;Full-Time;Senior;Expert;United States;289120;United States;Medium;2023
Data Operations Engineer;Full-Time;Senior;Expert;United States;192400;United States;Medium;2023
Staff Data Analyst;Full-Time;Mid;Intermediate;Saudi Arabia;179998;Saudi Arabia;Small;2023
Applied Machine Learning Scientist;Full-Time;Entry;Junior;Germany;48644;India;Large;2023
Data Scientist;Full-Time;Mid;Intermediate;India;35000;India;Large;2023
